index,va,p,m,d,longitude,latitude
6202,0.0,-5.224578939412501e-17,1.0,0.5,203,0.0
6203,0.0,0.0,1.0,0.5,204,0.0
6204,0.0,0.0,1.0,0.5,205,0.0
6205,0.0,0.0,1.0,0.5,206,0.0
6231,0.0,0.0,1.0,0.5,207,0.0
6235,0.0,0.0,1.0,0.5,208,0.0
6301,0.0,-7.401486830834377e-17,1.0,0.5,209,0.0
6302,0.0,-7.401486830834377e-17,1.0,0.5,210,0.0
6303,0.0,0.0,1.0,0.5,211,0.0
6304,0.0,0.0,1.0,0.5,212,0.0
6305,0.0,0.0,1.0,0.5,213,0.0
6333,0.0,0.0,1.0,0.5,214,0.0
6335,0.0,0.0,1.0,0.5,215,0.0
6401,0.0,-7.401486830834377e-17,1.0,0.5,216,0.0
6402,0.0,0.0,1.0,0.5,217,0.0
6403,0.0,-7.401486830834377e-17,1.0,0.5,218,0.0
6404,0.0,2.1861692385865137,1.0,0.5,219,0.0
6433,0.0,0.0,1.0,0.5,220,0.0
6501,0.0,-7.401486830834377e-17,1.0,0.5,221,0.0
6502,0.0,-7.401486830834377e-17,1.0,0.5,222,0.0
6503,0.0,-7.401486830834377e-17,1.0,0.5,223,0.0
6504,0.0,8.610829858106065,1.0,0.5,224,0.0
6505,0.0,-7.401486830834377e-17,1.0,0.5,225,0.0
6506,0.0,-14.351558912932733,1.0,0.5,226,0.0
6507,0.0,3.0362284521623653,1.0,0.5,227,0.0
6508,0.0,-7.401486830834377e-17,1.0,0.5,228,0.0
6509,0.0,-7.401486830834377e-17,1.0,0.5,229,0.0
6510,0.0,0.0,1.0,0.5,230,0.0
6533,0.0,0.0,1.0,0.5,231,0.0
7001,0.0,-2.291204372169363,1.0,0.5,232,0.0
7002,0.0,-5.7078066736870054,1.0,0.5,233,0.0
7031,0.0,0.0,1.0,0.5,234,0.0
7032,0.0,0.0,1.0,0.5,235,0.0
8001,0.0,-5.224578939412501e-17,1.0,0.5,236,0.0
8002,0.0,-5.224578939412501e-17,1.0,0.5,237,0.0
8003,0.0,5.075305255429287e-16,1.0,0.5,238,0.0
8004,0.0,5.075305255429287e-16,1.0,0.5,239,0.0
8005,0.0,5.075305255429287e-16,1.0,0.5,240,0.0
8033,0.0,0.0,1.0,0.5,241,0.0
8034,0.0,0.0,1.0,0.5,242,0.0
